index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,wilmington,34.2257,-77.9447,81.91,89,1,3.44,US,1627954742
351,eureka,40.8021,-124.1637,61.12,75,43,3,US,1627955008
352,geraldton,-28.7667,114.6,55.13,76,0,13.8,AU,1627954286
353,sept-iles,50.2001,-66.3821,60.26,82,40,1.99,CA,1627954462
354,nara,34.6851,135.8049,81.77,94,100,2.98,JP,1627954814
357,quballat,36.5418,9.6633,73.62,58,4,3.89,TN,1627955017
358,whitehorse,60.7161,-135.0538,78.03,88,90,14.97,CA,1627955019
359,san carlos de bariloche,-41.1456,-71.3082,44.35,87,75,6.91,AR,1627955020
360,homer,59.6425,-151.5483,65.77,83,40,13.8,US,1627954793
361,baracoa,20.3467,-74.4958,81.21,80,100,10.51,CU,1627955023
362,saint-leu,-21.15,55.2833,65.26,65,0,1.88,RE,1627955024
363,manggar,-2.8833,108.2667,85.05,67,89,14.14,ID,1627955026
366,cobija,-11.0267,-68.7692,67.66,43,0,3.27,BO,1627955030
367,samarai,-10.6167,150.6667,80.24,75,73,14.18,PG,1627955032
368,chippewa falls,44.9369,-91.3929,73.58,68,1,0,US,1627954504
370,pafos,34.7667,32.4167,80.38,26,0,8.05,CY,1627955036
371,richards bay,-28.783,32.0377,63.09,83,100,5.55,ZA,1627955037
372,massape,-3.5228,-40.3428,72.63,76,8,2.57,BR,1627955039
373,caravelas,-17.7125,-39.2481,66.09,81,50,2.26,BR,1627954465
374,svetlogorsk,52.6333,29.7333,55.4,98,37,6.8,BY,1627955042
375,havre-saint-pierre,50.2334,-63.5986,55.76,94,90,3.44,CA,1627954460
376,vangaindrano,-23.35,47.6,63.91,87,8,6.08,MG,1627955045
377,waipawa,-41.4122,175.5153,47.03,94,100,21.39,NZ,1627955046
378,vanavara,60.34,102.2797,60.85,86,100,0.81,RU,1627955048
379,russell,32.3502,-85.1999,73.11,87,40,2.3,US,1627955049
380,mogadishu,2.0371,45.3438,75.79,85,100,17.16,SO,1627955051
381,luangwa,-15.6167,30.4167,57.9,62,0,3.11,ZM,1627955052
382,bac lieu,9.285,105.7244,85.32,67,100,16.78,VN,1627955054
383,calamar,10.2511,-74.9146,80.55,83,100,5.84,CO,1627955055
384,porto walter,-8.2686,-72.7439,69.87,50,0,1.95,BR,1627955057
385,eresos,39.1667,25.9333,81.45,57,0,3.56,GR,1627955058
386,volosovo,59.4333,29.4833,58.66,99,82,8.05,RU,1627955060
387,aklavik,68.2191,-135.0107,56.23,79,100,13.06,CA,1627955061
388,ternate,0.8,127.4,83.77,72,12,7.43,ID,1627954470
390,yar-sale,66.8333,70.8333,60.31,80,100,2.98,RU,1627955065
391,linkoping,58.4109,15.6216,52.99,89,75,3.44,SE,1627955067
392,sao joao da barra,-21.6403,-41.0511,68.18,79,0,10.33,BR,1627954831
393,tuatapere,-46.1333,167.6833,49.82,69,45,5.64,NZ,1627955069
394,karratha,-20.7377,116.8463,67.78,22,13,23.35,AU,1627955071
395,khorinsk,52.1657,109.7726,62.67,91,100,2.42,RU,1627955072
396,benghazi,32.1167,20.0667,82.96,64,0,13.51,LY,1627955074
397,ivdel,60.6911,60.4206,61.34,84,0,2.04,RU,1627955076
398,barranca,-10.75,-77.7667,62.98,85,24,9.91,PE,1627955077
399,vysotsk,60.6288,28.5705,59.85,91,100,11.92,RU,1627955079
